"Oregon Liquor Control Commission Price Changes - Effective July 01, 2018"
"NOTE","ITEM NBR","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
"*","5162B","A",39.95,$479.40,"WOODINVILLE STRAIGHT BOURB",0.00
"*","5163B","A",41.95,$503.40,"WOODINVILLE STRAIGHT RYE W",0.00
"*","5164E","H",49.95,$299.70,"BOURBON LEGENDS COMBO PACK",0.00
"*","5165E","H",24.95,$299.40,"JD/GJ/JDSB FAMILY OF BRAND",0.00
"*","5166E","H",41.95,$251.70,"BASIL HAYDEN'S 375ML CO-PK",0.00
"*","5167B","H",15.95,$63.80,"EZRA BROOKS FLASK GIFT SET",0.00
"*","5168B","H",19.95,$119.70,"ABSOLUT /2-50MLS (LIME&GRA",0.00
"*","5169B","H",39.95,$239.70,"JAMESON BLACK BARREL W/COA",0.00
"*","5170B","H",29.95,$179.70,"WILD ROOTS HUCKLEBERRY VAP",0.00
"*","5171B","H",29.95,$179.70,"WILD ROOTS PEAR VAP",0.00
"*","5172B","H",22.95,$137.70,"HORNITOS BLACL BARREL W/GL",0.00
"*","5173B","H",24.95,$149.70,"JIM BEAM DBL OAK W/WSKY ST",0.00
"*","5174B","H",24.95,$149.70,"ELIJAH CRAIG 2018 VAP",0.00
"*","5175B","S",99.95,$599.70,"TYRCONNELL 15 YR MADEIRA",0.00
"*","5177B","S",34.95,$419.40,"WILLIE'S GENUINE CANADIAN",0.00
"*","5178B","S",351.45,"$2,108.70","SAMAROLI GUADELOUPE",0.00
"*","5179B","S",49.95,$299.70,"MOSSBURN ISLAND BLENDED",0.00
"*","5180B","S",59.95,$359.70,"MOSSBURN SPEYSIDE BLENDED",0.00
"*","5181B","S",84.95,$509.70,"MOSSBURN NO. 1 LINKWOOD",0.00
"*","5182B","S",84.95,$509.70,"MOSSBURN NO. 2 INCHGOWER",0.00
"*","5183B","S",99.95,$599.70,"MOSSBURN NO. 3 BLAIR ATHOL",0.00
"*","5185B","S",99.95,$599.70,"MOSSBURN NO. 4 TEANINICH",0.00
"*","5186B","S",72.00,$432.00,"CALUMENT FARM SINGLE RACK",0.00
"*","5187B","S",12.95,$155.40,"JOLLY ROGER GOLD RUM",0.00
"*","5188B","S",19.00,$228.00,"KID CURRY VANILLA CARAMEL",0.00
"*","5189B","S",19.00,$228.00,"KID CURRY SILVER RUM",0.00
"*","5190B","S",23.60,$283.20,"KATSAROS TYRNAVOU OUZO",0.00
"*","5191B","H",14.95,$119.60,"FIREBALL 50ML GIFT PACK",0.00
"*","5192B","S",19.95,$239.40,"PEYCHAUD'S APERITIVO",0.00
"*","5193B","S",15.00,$180.00,"REVEL STOKE ROOT BEER",0.00
"*","5194B","S",21.00,$252.00,"DEADWOOD STRAIGHT BOURBON",0.00
"*","5195B","S",21.00,$252.00,"DEADWOOD RYE WHISKEY",0.00
"*","5196B","S",38.30,$459.60,"TUVE BITTER",0.00
"*","5197B","S",71.45,$428.70,"BRIOTTET CREME DE BANANE",0.00
"*","5198B","S",135.65,$813.90,"ALQUIMIA TEQUILA",0.00
"*","5199E","S",15.95,$95.70,"CUTWATER WHISKEY LEMON TEA",0.00
"*","5200E","S",15.95,$95.70,"CUTWATER RUM & COLA RTE",0.00
"*","5201E","S",15.95,$95.70,"CUTWATER VODKA MULE RTE",0.00
"*","5202E","S",15.95,$95.70,"CUTWATER LIME MARGARITA",0.00
"*","5203E","S",15.95,$95.70,"CUTWATER WHISKEY HIGHBALL",0.00
"*","5204B","S",29.95,$179.70,"TINKERMAN'S CURIOUSLY",0.00
"*","5205B","S",29.95,$179.70,"TINKERMAN'S SWEET SPICE",0.00
"*","5206B","S",29.95,$179.70,"TINKERMAN'S CITRUS SUPREME",0.00
"*","5207B","S",149.95,$899.70,"WILD TURKEY - REVIVAL",0.00
"*","5208B","S",250.00,$750.00,"RUSSELLS RESERVE 2002",0.00
"*","5209B","B",64.95,$389.70,"NIKKA FROM THE BARREL",0.00
"*","5210B","M",44.00,"$1,056.00","CASCADIAN MAID",0.00
"*","5210E","M",24.00,"$1,152.00","CASCADIAN MAID",0.00
